City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,klyuchi,52.2667,79.1667,287.21,27,91,4.66,RU,1682776069
308,corumba,-19.0092,-57.6533,301.1,78,20,4.12,BR,1682776069
309,namibe,-15.1961,12.1522,300.16,74,98,4.31,AO,1682776069
310,murakami,38.2333,139.4833,289.05,72,100,0.96,JP,1682776070
311,cabo san lucas,22.8909,-109.9124,295.66,56,0,1.54,MX,1682776071
312,fort st. john,56.2499,-120.8529,278.09,52,20,2.06,CA,1682776072
313,bomadi,5.1593,5.9252,302.37,74,100,2.33,NG,1682776074
314,santa ana de yacuma,-13.75,-65.4333,301.12,83,4,2.57,BO,1682776075
315,la'ie,21.6477,-157.9253,295.61,90,20,1.34,US,1682776075
316,saldanha,-33.0117,17.9442,290.36,69,8,7.37,ZA,1682776076
317,pisco,-13.7,-76.2167,295.38,83,98,0.0,PE,1682776076
318,tuy hoa,13.0833,109.3,298.52,91,8,0.9,VN,1682776078
319,madingou,-4.1536,13.55,302.35,69,90,1.68,CG,1682776078
320,naze,28.3667,129.4833,295.66,88,100,7.67,JP,1682776079
321,carnarvon,-24.8667,113.6333,296.69,65,97,5.0,AU,1682776079
322,kemijarvi,66.7131,27.4306,273.86,100,100,2.48,FI,1682776080
323,anadyr,64.75,177.4833,256.43,85,0,3.0,RU,1682776080
324,dom pedrito,-30.9828,-54.6731,296.99,38,0,5.27,BR,1682776081
325,an nuhud,12.7,28.4333,310.58,6,87,5.27,SD,1682776082
326,tolanaro,-25.0319,46.9987,299.19,61,40,8.23,MG,1682776083
327,tirumullaivasal,11.2333,79.8333,302.76,69,100,4.51,IN,1682776083
328,rakops,-21.0167,24.3333,305.16,22,6,3.6,BW,1682776084
329,banikoara,11.2985,2.4386,311.77,22,98,1.78,BJ,1682776085
330,beloyarskiy,63.7119,66.6722,271.68,87,94,4.05,RU,1682776085
331,abashiri,44.0213,144.2697,281.64,87,100,4.08,JP,1682776086
332,boca do acre,-8.7522,-67.3978,302.99,68,45,0.16,BR,1682776086
333,boyolangu,-8.1181,111.8935,297.6,91,97,0.3,ID,1682776088
334,nikolayevsk-on-amure,53.1406,140.73,269.22,95,24,0.41,RU,1682776088
335,saint-paul-les-dax,43.7272,-1.0516,294.34,90,100,3.6,FR,1682776088
336,pudozh,61.8099,36.5345,280.61,63,89,4.01,RU,1682776089
337,axim,4.8699,-2.2405,302.66,67,45,3.83,GH,1682776090
338,gwadar,25.1216,62.3254,300.86,66,6,1.47,PK,1682776090
339,bonthe,7.5264,-12.505,303.46,67,60,4.3,SL,1682776091
340,sakaiminato,35.55,133.2333,290.14,100,75,9.26,JP,1682776092
341,mammoth lakes,37.6485,-118.9721,279.45,57,0,0.0,US,1682776093
342,sandy,40.572,-111.8606,286.81,45,0,3.13,US,1682775944
343,chibougamau,49.9168,-74.3659,283.94,46,0,2.57,CA,1682776094
344,zhoucun,36.8167,117.8167,289.91,23,11,5.87,CN,1682776094
345,dalandzadgad,43.5708,104.425,285.11,26,5,2.05,MN,1682776096
346,ciudad valles,21.9833,-99.0167,294.6,54,97,7.93,MX,1682776096
347,horta,38.5333,-28.6333,290.95,83,20,8.05,PT,1682776097
348,nueva gerona,21.8833,-82.8,302.08,59,100,6.33,CU,1682776099
349,kupang,-10.1667,123.5833,298.38,86,28,3.69,ID,1682776099
350,krumovgrad,41.4667,25.65,289.78,46,28,0.55,BG,1682776101
351,ust-tsilma,65.441,52.1498,273.1,86,84,3.72,RU,1682776102
352,hotan,37.0997,79.9269,293.9,12,100,0.83,CN,1682776102
353,poco verde,-10.7083,-38.1833,304.89,47,6,3.56,BR,1682776103
354,gorno-altaysk,51.9561,85.955,285.5,88,100,1.19,RU,1682776104
355,alice springs,-23.7,133.8833,282.9,76,0,4.53,AU,1682776104
356,rio brilhante,-21.8019,-54.5464,297.08,71,0,2.85,BR,1682776105
357,port isabel,26.0734,-97.2086,291.51,67,75,11.32,US,1682776106
358,el granada,37.5027,-122.4694,287.55,93,100,2.57,US,1682776106
359,ust'-kulom,61.6864,53.6902,276.5,68,100,3.38,RU,1682776107
360,dmitrovsk-orlovskiy,52.505,35.1464,285.03,43,54,5.81,RU,1682776108
